transaction_id,sender_account,receiver_account,sender_customer_id,amount,transaction_type,transaction_time,hour_of_day,location,is_new_beneficiary,is_high_risk_country,is_suspicious
TXN-11606,ACC-50105,ACC-50057,CUST-1105,11880.37,TRANSFER,2026-08-04 20:17:00,12,"Delhi, IN",1,0,0
TXN-10402,ACC-50010,ACC-50056,CUST-1010,8356.42,TRANSFER,2026-08-03 00:09:00,16,"Mumbai, IN",0,0,0
TXN-11103,ACC-50101,ACC-50055,CUST-1101,4494.37,TRANSFER,2026-08-07 23:27:00,15,"Mumbai, IN",0,0,0
TXN-12072,ACC-50012,ACC-50008,CUST-1012,19184.4,CASH_DEPOSIT,2026-08-03 22:24:00,14,"Mumbai, IN",1,0,0
TXN-10719,ACC-50104,ACC-50114,CUST-1104,5528.08,TRANSFER,2026-08-10 16:38:00,8,"Mumbai, IN",0,0,0
TXN-12011,ACC-50052,ACC-50126,CUST-1052,26536.38,CASH_DEPOSIT,2026-08-10 03:50:00,19,"Mumbai, IN",1,0,0
TXN-12436,ACC-59902,ACC-59903,CUST-9001,1131505.91,WIRE,2026-08-02 09:53:00,1,"George Town, KY",1,1,1
TXN-10196,ACC-50131,ACC-50148,CUST-1131,6587.64,CASH_DEPOSIT,2026-08-03 21:45:00,13,"Mumbai, IN",0,0,0
TXN-10891,ACC-50129,ACC-50146,CUST-1129,7885.18,TRANSFER,2026-08-10 16:06:00,8,"Mumbai, IN",0,0,0
TXN-11264,ACC-50054,ACC-50074,CUST-1054,8092.26,TRANSFER,2026-08-11 05:17:00,21,"Mumbai, IN",0,0,0
TXN-11034,ACC-50000,ACC-50032,CUST-1000,4833.16,CASH_DEPOSIT,2026-08-02 01:04:00,17,"Mumbai, IN",0,0,0
TXN-11325,ACC-50128,ACC-50133,CUST-1128,37952.32,CASH_DEPOSIT,2026-08-07 06:59:00,22,"Mumbai, IN",0,0,0
TXN-10509,ACC-50115,ACC-50029,CUST-1115,15403.17,TRANSFER,2026-08-11 17:48:00,9,"Mumbai, IN",0,0,0
TXN-11427,ACC-50031,ACC-50111,CUST-1031,33549.09,CASH_DEPOSIT,2026-08-07 04:36:00,20,"Mumbai, IN",0,0,0
TXN-10194,ACC-50140,ACC-50135,CUST-1140,35526.15,TRANSFER,2026-08-06 03:07:00,19,"Mumbai, IN",0,0,0
TXN-11179,ACC-50042,ACC-50020,CUST-1042,5834.35,TRANSFER,2026-08-07 23:05:00,15,"Mumbai, IN",0,0,0
TXN-12032,ACC-50032,ACC-50009,CUST-1032,6020.32,CASH_DEPOSIT,2026-08-10 20:04:00,12,"Mumbai, IN",1,0,0
TXN-10932,ACC-50080,ACC-50076,CUST-1080,6533.86,CASH_DEPOSIT,2026-08-07 16:57:00,8,"Mumbai, IN",0,0,0
TXN-11124,ACC-50033,ACC-50138,CUST-1033,4180.63,CASH_DEPOSIT,2026-08-03 03:30:00,19,"Mumbai, IN",0,0,0
TXN-11822,ACC-50111,ACC-50131,CUST-1111,2981.19,TRANSFER,2026-08-04 06:54:00,22,"Mumbai, IN",0,0,0
TXN-11366,ACC-50116,ACC-50091,CUST-1116,12074.86,TRANSFER,2026-08-11 19:15:00,11,"Mumbai, IN",0,0,0
TXN-11992,ACC-50064,ACC-50069,CUST-1064,4025.94,TRANSFER,2026-08-05 22:55:00,14,"Mumbai, IN",0,0,0
TXN-11258,ACC-50050,ACC-50122,CUST-1050,4172.21,TRANSFER,2026-08-09 17:44:00,9,"Mumbai, IN",0,0,0
TXN-12274,ACC-50013,ACC-50069,CUST-1013,139471.84,WIRE,2026-08-07 05:57:00,21,"Panama City, PA",1,1,1
TXN-11273,ACC-50101,ACC-50127,CUST-1101,4320.16,CASH_DEPOSIT,2026-08-04 06:04:00,22,"Mumbai, IN",1,0,0
TXN-11936,ACC-50024,ACC-50013,CUST-1024,11157.53,TRANSFER,2026-08-12 01:13:00,17,"Bangalore, IN",0,0,0
TXN-11266,ACC-50084,ACC-50093,CUST-1084,6536.09,TRANSFER,2026-08-11 01:47:00,17,"Mumbai, IN",0,0,0
TXN-10772,ACC-50047,ACC-50109,CUST-1047,30236.67,TRANSFER,2026-08-08 14:36:00,6,"Mumbai, IN",0,0,0
TXN-11608,ACC-50043,ACC-50009,CUST-1043,24035.97,TRANSFER,2026-08-10 02:09:00,18,"Mumbai, IN",1,0,0
TXN-11311,ACC-50120,ACC-50105,CUST-1120,43143.56,TRANSFER,2026-08-12 00:28:00,16,"Mumbai, IN",0,0,0
TXN-10134,ACC-50104,ACC-50071,CUST-1104,5336.14,TRANSFER,2026-08-06 15:44:00,7,"Mumbai, IN",0,0,0
TXN-11855,ACC-50147,ACC-50050,CUST-1147,4778.33,CASH_DEPOSIT,2026-08-06 18:26:00,10,"Mumbai, IN",0,0,0
TXN-12399,ACC-50047,ACC-50035,CUST-1047,66696.7,WIRE,2026-08-06 09:28:00,1,"Dubai, AE",1,1,1
TXN-10420,ACC-50015,ACC-50005,CUST-1015,11032.0,TRANSFER,2026-08-03 18:37:00,10,"Delhi, IN",0,0,0
TXN-11755,ACC-50036,ACC-50057,CUST-1036,5774.27,TRANSFER,2026-08-06 14:12:00,6,"Mumbai, IN",0,0,0
TXN-10707,ACC-50010,ACC-50063,CUST-1010,9969.32,TRANSFER,2026-08-08 06:34:00,22,"Mumbai, IN",1,0,0
TXN-10093,ACC-50042,ACC-50079,CUST-1042,3178.72,CASH_DEPOSIT,2026-08-02 23:28:00,15,"Mumbai, IN",1,0,0
TXN-10056,ACC-50061,ACC-50071,CUST-1061,5421.49,TRANSFER,2026-08-06 04:04:00,20,"Mumbai, IN",0,0,0
TXN-10218,ACC-50126,ACC-50006,CUST-1126,49059.81,CASH_DEPOSIT,2026-08-11 01:35:00,17,"Mumbai, IN",0,0,0
TXN-11036,ACC-50035,ACC-50130,CUST-1035,19483.53,TRANSFER,2026-08-09 04:48:00,20,"Mumbai, IN",0,0,0
TXN-11293,ACC-50130,ACC-50106,CUST-1130,15919.5,TRANSFER,2026-08-04 18:00:00,10,"Mumbai, IN",1,0,0
TXN-11952,ACC-50065,ACC-50141,CUST-1065,4037.3,TRANSFER,2026-08-04 19:47:00,11,"Mumbai, IN",0,0,0
TXN-11449,ACC-50031,ACC-50111,CUST-1031,24818.53,TRANSFER,2026-08-01 18:40:00,10,"Mumbai, IN",0,0,0
TXN-12359,ACC-50047,ACC-50001,CUST-1047,74947.98,WIRE,2026-08-04 11:02:00,3,"Panama City, PA",1,1,1
TXN-11465,ACC-50111,ACC-50136,CUST-1111,3983.38,TRANSFER,2026-08-10 20:05:00,12,"Mumbai, IN",0,0,0
TXN-10298,ACC-50035,ACC-50140,CUST-1035,29789.44,TRANSFER,2026-08-10 05:11:00,21,"Bangalore, IN",0,0,0
TXN-12177,ACC-50074,ACC-50031,CUST-1074,9856.67,CASH_DEPOSIT,2026-08-02 01:47:00,17,"Delhi, IN",1,0,1
TXN-10178,ACC-50016,ACC-50085,CUST-1016,6067.42,CASH_DEPOSIT,2026-08-11 17:35:00,9,"Mumbai, IN",0,0,0
TXN-11187,ACC-50011,ACC-50084,CUST-1011,5761.75,CASH_DEPOSIT,2026-08-11 04:14:00,20,"Mumbai, IN",0,0,0
TXN-11472,ACC-50102,ACC-50014,CUST-1102,13475.35,CASH_DEPOSIT,2026-08-08 17:37:00,9,"Mumbai, IN",0,0,0
TXN-10188,ACC-50064,ACC-50013,CUST-1064,8091.12,TRANSFER,2026-08-07 05:55:00,21,"Bangalore, IN",0,0,0
TXN-10572,ACC-50021,ACC-50056,CUST-1021,4348.26,CASH_DEPOSIT,2026-08-09 04:38:00,20,"Mumbai, IN",1,0,0
TXN-10433,ACC-50042,ACC-50112,CUST-1042,5159.65,CASH_DEPOSIT,2026-08-02 19:03:00,11,"Mumbai, IN",0,0,0
TXN-10518,ACC-50140,ACC-50080,CUST-1140,36151.5,TRANSFER,2026-08-04 20:12:00,12,"Mumbai, IN",0,0,0
TXN-12346,ACC-50091,ACC-50005,CUST-1091,151627.99,WIRE,2026-08-09 12:40:00,4,"Panama City, PA",1,1,1
TXN-12271,ACC-50136,ACC-50126,CUST-1136,946026.96,WIRE,2026-08-10 12:54:00,4,"Panama City, PA",1,0,1
TXN-11084,ACC-50094,ACC-50002,CUST-1094,8165.59,TRANSFER,2026-08-12 06:37:00,22,"Mumbai, IN",0,0,0
TXN-11288,ACC-50003,ACC-50026,CUST-1003,6831.55,TRANSFER,2026-08-02 02:24:00,18,"Bangalore, IN",0,0,0
TXN-11123,ACC-50132,ACC-50002,CUST-1132,11134.37,CASH_DEPOSIT,2026-08-07 19:20:00,11,"Mumbai, IN",0,0,0
TXN-11341,ACC-50045,ACC-50021,CUST-1045,2965.13,CASH_DEPOSIT,2026-08-05 18:04:00,10,"Mumbai, IN",1,0,0
TXN-12256,ACC-50131,ACC-50045,CUST-1131,108916.06,WIRE,2026-08-01 18:26:00,10,"London, UK",1,0,1
TXN-11490,ACC-50076,ACC-50021,CUST-1076,6108.22,CASH_DEPOSIT,2026-08-10 15:17:00,7,"Mumbai, IN",1,0,0
TXN-10043,ACC-50093,ACC-50111,CUST-1093,28465.78,TRANSFER,2026-08-06 16:42:00,8,"Mumbai, IN",0,0,0
TXN-11878,ACC-50059,ACC-50053,CUST-1059,41838.29,CASH_DEPOSIT,2026-08-02 15:45:00,7,"Mumbai, IN",0,0,0
TXN-10450,ACC-50009,ACC-50102,CUST-1009,10111.73,TRANSFER,2026-08-05 00:44:00,16,"Mumbai, IN",0,0,0
TXN-12045,ACC-50036,ACC-50037,CUST-1036,3276.81,CASH_DEPOSIT,2026-08-10 20:05:00,12,"Mumbai, IN",0,0,0
TXN-10044,ACC-50076,ACC-50130,CUST-1076,5298.59,CASH_DEPOSIT,2026-08-07 23:42:00,15,"Mumbai, IN",0,0,0
TXN-11283,ACC-50148,ACC-50101,CUST-1148,24086.89,TRANSFER,2026-08-04 18:28:00,10,"Mumbai, IN",0,0,0
TXN-11967,ACC-50118,ACC-50070,CUST-1118,5731.81,TRANSFER,2026-08-10 02:51:00,18,"Mumbai, IN",0,0,0
TXN-12090,ACC-50079,ACC-50139,CUST-1079,5686.66,TRANSFER,2026-08-03 16:04:00,8,"Mumbai, IN",0,0,0
TXN-10254,ACC-50061,ACC-50063,CUST-1061,4030.14,TRANSFER,2026-08-09 15:42:00,7,"Mumbai, IN",0,0,0
TXN-11945,ACC-50073,ACC-50094,CUST-1073,12665.07,CASH_DEPOSIT,2026-08-06 16:38:00,8,"Bangalore, IN",0,0,0
TXN-11874,ACC-50027,ACC-50063,CUST-1027,8757.77,TRANSFER,2026-08-06 16:11:00,8,"Mumbai, IN",0,0,0
TXN-11862,ACC-50034,ACC-50098,CUST-1034,6558.67,TRANSFER,2026-08-09 05:24:00,21,"Mumbai, IN",0,0,0
TXN-10564,ACC-50148,ACC-50139,CUST-1148,24703.34,CASH_DEPOSIT,2026-08-11 19:24:00,11,"Mumbai, IN",0,0,0
TXN-10212,ACC-50095,ACC-50114,CUST-1095,3043.3,TRANSFER,2026-08-03 16:36:00,8,"Mumbai, IN",0,0,0
TXN-10866,ACC-50092,ACC-50102,CUST-1092,6374.49,CASH_DEPOSIT,2026-08-07 18:45:00,10,"Mumbai, IN",0,0,0
TXN-10742,ACC-50132,ACC-50033,CUST-1132,43307.25,CASH_DEPOSIT,2026-08-01 20:46:00,12,"Mumbai, IN",0,0,0
TXN-11251,ACC-50028,ACC-50049,CUST-1028,4400.55,CASH_DEPOSIT,2026-08-03 23:02:00,15,"Mumbai, IN",0,0,0
TXN-11047,ACC-50030,ACC-50013,CUST-1030,4536.33,TRANSFER,2026-08-10 20:15:00,12,"Mumbai, IN",1,0,0
TXN-11736,ACC-50095,ACC-50107,CUST-1095,4707.64,TRANSFER,2026-08-03 19:26:00,11,"Mumbai, IN",0,0,0
TXN-11017,ACC-50103,ACC-50115,CUST-1103,2666.16,TRANSFER,2026-08-09 20:56:00,12,"Mumbai, IN",1,0,0
TXN-10170,ACC-50019,ACC-50046,CUST-1019,12018.88,TRANSFER,2026-08-11 05:29:00,21,"Mumbai, IN",0,0,0
TXN-12096,ACC-50054,ACC-50042,CUST-1054,6043.31,CASH_DEPOSIT,2026-08-11 20:39:00,12,"Mumbai, IN",0,0,0
TXN-12487,ACC-59901,ACC-59902,CUST-9000,1148024.07,WIRE,2026-08-02 11:27:00,3,"George Town, KY",1,1,1
TXN-12217,ACC-50134,ACC-50065,CUST-1134,9595.46,WIRE,2026-08-10 14:25:00,6,"Delhi, IN",1,0,1
TXN-11797,ACC-50122,ACC-50037,CUST-1122,4262.55,TRANSFER,2026-08-06 16:43:00,8,"Delhi, IN",0,0,0
TXN-10544,ACC-50136,ACC-50056,CUST-1136,39092.94,TRANSFER,2026-08-07 18:47:00,10,"Mumbai, IN",0,0,0
TXN-11221,ACC-50035,ACC-50148,CUST-1035,44512.62,TRANSFER,2026-08-07 05:44:00,21,"Delhi, IN",0,0,0
TXN-10463,ACC-50077,ACC-50134,CUST-1077,90713.61,TRANSFER,2026-08-03 02:37:00,18,"Mumbai, IN",0,0,0
TXN-10988,ACC-50117,ACC-50103,CUST-1117,3218.6,TRANSFER,2026-08-11 05:19:00,21,"Mumbai, IN",1,0,0
TXN-11321,ACC-50072,ACC-50102,CUST-1072,3759.68,CASH_DEPOSIT,2026-08-07 06:12:00,22,"Mumbai, IN",0,0,0
TXN-10602,ACC-50063,ACC-50092,CUST-1063,24739.86,TRANSFER,2026-08-02 18:49:00,10,"Bangalore, IN",1,0,0
TXN-11336,ACC-50027,ACC-50021,CUST-1027,6374.83,CASH_DEPOSIT,2026-08-02 19:46:00,11,"Mumbai, IN",0,0,0
TXN-12339,ACC-50047,ACC-50118,CUST-1047,100365.05,WIRE,2026-08-02 10:03:00,2,"Dubai, AE",1,1,1
TXN-11260,ACC-50004,ACC-50052,CUST-1004,9968.71,CASH_DEPOSIT,2026-08-01 16:55:00,8,"Mumbai, IN",0,0,0
TXN-12114,ACC-50126,ACC-50141,CUST-1126,42817.44,TRANSFER,2026-08-07 21:03:00,13,"Mumbai, IN",1,0,0
TXN-10807,ACC-50009,ACC-50050,CUST-1009,15769.55,TRANSFER,2026-08-10 14:46:00,6,"Mumbai, IN",0,0,0
TXN-10886,ACC-50058,ACC-50079,CUST-1058,26508.24,TRANSFER,2026-08-03 18:13:00,10,"Mumbai, IN",0,0,0
TXN-11582,ACC-50032,ACC-50134,CUST-1032,4597.2,TRANSFER,2026-08-11 02:21:00,18,"Mumbai, IN",1,0,0
TXN-11614,ACC-50005,ACC-50113,CUST-1005,6898.56,TRANSFER,2026-08-11 04:37:00,20,"Mumbai, IN",1,0,0
TXN-11837,ACC-50100,ACC-50097,CUST-1100,15334.38,TRANSFER,2026-08-09 18:18:00,10,"Mumbai, IN",0,0,0
TXN-11873,ACC-50115,ACC-50021,CUST-1115,37320.05,TRANSFER,2026-08-10 00:55:00,16,"Mumbai, IN",0,0,0
TXN-10282,ACC-50014,ACC-50036,CUST-1014,9923.62,TRANSFER,2026-08-05 06:18:00,22,"Mumbai, IN",0,0,0
TXN-10210,ACC-50007,ACC-50037,CUST-1007,1898.84,TRANSFER,2026-08-04 04:02:00,20,"Mumbai, IN",0,0,0
TXN-10111,ACC-50134,ACC-50116,CUST-1134,4239.59,CASH_DEPOSIT,2026-08-03 14:46:00,6,"Mumbai, IN",0,0,0
TXN-11920,ACC-50058,ACC-50062,CUST-1058,25156.65,TRANSFER,2026-08-11 15:41:00,7,"Mumbai, IN",0,0,0
TXN-12165,ACC-50134,ACC-50025,CUST-1134,9473.13,CASH_DEPOSIT,2026-08-07 02:41:00,18,"Mumbai, IN",1,0,1
TXN-10457,ACC-50129,ACC-50101,CUST-1129,13599.35,TRANSFER,2026-08-01 17:43:00,9,"Mumbai, IN",1,0,0
TXN-10819,ACC-50105,ACC-50061,CUST-1105,13424.89,TRANSFER,2026-08-01 19:39:00,11,"Mumbai, IN",1,0,0
TXN-12184,ACC-50117,ACC-50010,CUST-1117,9258.6,CASH_DEPOSIT,2026-08-11 16:46:00,8,"Mumbai, IN",1,0,1
TXN-11655,ACC-50096,ACC-50031,CUST-1096,56360.92,TRANSFER,2026-08-04 17:25:00,9,"Bangalore, IN",0,0,0
TXN-10252,ACC-50010,ACC-50074,CUST-1010,9277.14,TRANSFER,2026-08-08 16:22:00,8,"Mumbai, IN",1,0,0
TXN-10251,ACC-50073,ACC-50031,CUST-1073,12732.47,CASH_DEPOSIT,2026-08-08 02:57:00,18,"Mumbai, IN",0,0,0
TXN-11539,ACC-50120,ACC-50038,CUST-1120,75425.77,TRANSFER,2026-08-04 05:52:00,21,"Mumbai, IN",0,0,0
TXN-12129,ACC-50015,ACC-50142,CUST-1015,9533.24,WIRE,2026-08-05 13:07:00,5,"Delhi, IN",1,0,1
TXN-11926,ACC-50142,ACC-50095,CUST-1142,16613.92,TRANSFER,2026-08-04 06:24:00,22,"Mumbai, IN",0,0,0
TXN-11018,ACC-50088,ACC-50104,CUST-1088,13191.17,TRANSFER,2026-08-05 20:56:00,12,"Mumbai, IN",0,0,0
TXN-10422,ACC-50111,ACC-50125,CUST-1111,8860.04,TRANSFER,2026-08-10 00:11:00,16,"Bangalore, IN",0,0,0
TXN-11175,ACC-50125,ACC-50000,CUST-1125,7252.0,TRANSFER,2026-08-07 17:04:00,9,"Mumbai, IN",0,0,0
TXN-10620,ACC-50080,ACC-50082,CUST-1080,4043.92,TRANSFER,2026-08-05 23:45:00,15,"Mumbai, IN",0,0,0
TXN-10173,ACC-50094,ACC-50073,CUST-1094,14242.26,TRANSFER,2026-08-02 16:41:00,8,"Mumbai, IN",1,0,0
TXN-10486,ACC-50077,ACC-50108,CUST-1077,89091.63,CASH_DEPOSIT,2026-08-09 17:42:00,9,"Mumbai, IN",0,0,0
TXN-11985,ACC-50101,ACC-50007,CUST-1101,4900.8,CASH_DEPOSIT,2026-08-06 20:42:00,12,"Mumbai, IN",0,0,0
TXN-11080,ACC-50003,ACC-50018,CUST-1003,7085.31,TRANSFER,2026-08-10 20:57:00,12,"Mumbai, IN",0,0,0
TXN-11117,ACC-50108,ACC-50103,CUST-1108,4662.85,TRANSFER,2026-08-10 23:20:00,15,"Mumbai, IN",0,0,0
TXN-11357,ACC-50120,ACC-50031,CUST-1120,51292.16,CASH_DEPOSIT,2026-08-09 01:50:00,17,"Bangalore, IN",1,0,0
TXN-11041,ACC-50004,ACC-50071,CUST-1004,10860.93,CASH_DEPOSIT,2026-08-10 20:15:00,12,"Mumbai, IN",0,0,0
TXN-11090,ACC-50047,ACC-50001,CUST-1047,24471.26,CASH_DEPOSIT,2026-08-03 01:00:00,17,"Mumbai, IN",0,0,0
TXN-11355,ACC-50026,ACC-50128,CUST-1026,44494.58,TRANSFER,2026-08-08 17:40:00,9,"Mumbai, IN",0,0,0
TXN-10211,ACC-50092,ACC-50099,CUST-1092,4866.32,TRANSFER,2026-08-03 15:38:00,7,"Mumbai, IN",0,0,0
TXN-10613,ACC-50124,ACC-50076,CUST-1124,114773.54,TRANSFER,2026-08-10 22:35:00,14,"Mumbai, IN",0,0,0
TXN-12149,ACC-50117,ACC-50076,CUST-1117,9809.53,WIRE,2026-08-02 22:09:00,14,"Mumbai, IN",1,0,1
TXN-10464,ACC-50143,ACC-50072,CUST-1143,13174.08,CASH_DEPOSIT,2026-08-02 23:43:00,15,"Mumbai, IN",0,0,0
TXN-11467,ACC-50087,ACC-50047,CUST-1087,12646.49,TRANSFER,2026-08-05 06:31:00,22,"Mumbai, IN",1,0,0
TXN-10554,ACC-50122,ACC-50118,CUST-1122,6250.88,CASH_DEPOSIT,2026-08-06 04:22:00,20,"Mumbai, IN",0,0,0
TXN-10907,ACC-50138,ACC-50087,CUST-1138,30258.8,CASH_DEPOSIT,2026-08-01 14:48:00,6,"Mumbai, IN",1,0,0
TXN-10993,ACC-50149,ACC-50062,CUST-1149,11532.65,CASH_DEPOSIT,2026-08-10 20:18:00,12,"Mumbai, IN",0,0,0
TXN-11968,ACC-50149,ACC-50030,CUST-1149,18495.65,CASH_DEPOSIT,2026-08-04 06:31:00,22,"Mumbai, IN",0,0,0
TXN-11788,ACC-50070,ACC-50006,CUST-1070,101797.98,TRANSFER,2026-08-05 05:14:00,21,"Delhi, IN",0,0,0
TXN-11598,ACC-50085,ACC-50081,CUST-1085,14549.57,TRANSFER,2026-08-10 19:57:00,11,"Bangalore, IN",0,0,0
TXN-10096,ACC-50068,ACC-50148,CUST-1068,14246.83,CASH_DEPOSIT,2026-08-03 15:48:00,7,"Mumbai, IN",1,0,0
TXN-11964,ACC-50021,ACC-50063,CUST-1021,5638.83,TRANSFER,2026-08-07 17:29:00,9,"Mumbai, IN",1,0,0
TXN-11364,ACC-50052,ACC-50023,CUST-1052,59287.31,TRANSFER,2026-08-07 16:01:00,8,"Mumbai, IN",0,0,0
TXN-11924,ACC-50001,ACC-50090,CUST-1001,22186.03,TRANSFER,2026-08-06 16:37:00,8,"Mumbai, IN",1,0,0
TXN-10611,ACC-50025,ACC-50070,CUST-1025,111472.29,CASH_DEPOSIT,2026-08-07 21:35:00,13,"Mumbai, IN",0,0,0
TXN-10445,ACC-50111,ACC-50051,CUST-1111,7628.41,CASH_DEPOSIT,2026-08-10 18:53:00,10,"Mumbai, IN",0,0,0
TXN-10237,ACC-50092,ACC-50142,CUST-1092,4136.27,TRANSFER,2026-08-07 23:04:00,15,"Mumbai, IN",0,0,0
TXN-12310,ACC-50023,ACC-50134,CUST-1023,82027.36,WIRE,2026-08-03 16:31:00,8,"Dubai, AE",1,0,1
TXN-10873,ACC-50039,ACC-50068,CUST-1039,3440.14,CASH_DEPOSIT,2026-08-11 23:40:00,15,"Mumbai, IN",0,0,0
TXN-12497,ACC-59903,ACC-59904,CUST-9002,1146024.51,WIRE,2026-08-02 09:12:00,1,"George Town, KY",1,1,1
TXN-12054,ACC-50105,ACC-50102,CUST-1105,14820.21,CASH_DEPOSIT,2026-08-07 03:36:00,19,"Mumbai, IN",0,0,0
TXN-11673,ACC-50084,ACC-50018,CUST-1084,5671.58,TRANSFER,2026-08-09 04:57:00,20,"Mumbai, IN",0,0,0
TXN-12122,ACC-50094,ACC-50083,CUST-1094,16363.0,TRANSFER,2026-08-12 03:24:00,19,"Mumbai, IN",1,0,0
TXN-10839,ACC-50116,ACC-50119,CUST-1116,13717.35,TRANSFER,2026-08-07 18:55:00,10,"Mumbai, IN",0,0,0
TXN-10581,ACC-50080,ACC-50105,CUST-1080,5294.83,CASH_DEPOSIT,2026-08-04 01:06:00,17,"Mumbai, IN",0,0,0
TXN-11281,ACC-50045,ACC-50066,CUST-1045,2200.2,TRANSFER,2026-08-11 14:34:00,6,"Mumbai, IN",1,0,0
TXN-10979,ACC-50109,ACC-50023,CUST-1109,9505.54,CASH_DEPOSIT,2026-08-06 15:32:00,7,"Mumbai, IN",0,0,0
TXN-10790,ACC-50118,ACC-50061,CUST-1118,4963.47,TRANSFER,2026-08-06 20:33:00,12,"Mumbai, IN",0,0,0
TXN-10841,ACC-50069,ACC-50139,CUST-1069,3075.51,TRANSFER,2026-08-11 20:50:00,12,"Mumbai, IN",0,0,0
TXN-10482,ACC-50103,ACC-50004,CUST-1103,4943.55,TRANSFER,2026-08-03 21:14:00,13,"Mumbai, IN",0,0,0
TXN-11910,ACC-50037,ACC-50115,CUST-1037,26300.06,TRANSFER,2026-08-04 02:35:00,18,"Mumbai, IN",0,0,0
TXN-10621,ACC-50113,ACC-50092,CUST-1113,135670.5,TRANSFER,2026-08-08 06:28:00,22,"Mumbai, IN",0,0,0
TXN-11502,ACC-50044,ACC-50037,CUST-1044,61999.13,TRANSFER,2026-08-02 15:14:00,7,"Mumbai, IN",1,0,0
TXN-10332,ACC-50114,ACC-50095,CUST-1114,68018.21,TRANSFER,2026-08-12 02:29:00,18,"Mumbai, IN",0,0,0
TXN-10478,ACC-50082,ACC-50136,CUST-1082,5316.53,TRANSFER,2026-08-11 20:01:00,12,"Mumbai, IN",0,0,0
TXN-11494,ACC-50027,ACC-50142,CUST-1027,10070.53,CASH_DEPOSIT,2026-08-12 02:46:00,18,"Bangalore, IN",1,0,0
TXN-10507,ACC-50130,ACC-50144,CUST-1130,15651.73,CASH_DEPOSIT,2026-08-11 20:41:00,12,"Delhi, IN",0,0,0
TXN-11450,ACC-50043,ACC-50131,CUST-1043,18222.24,CASH_DEPOSIT,2026-08-08 20:30:00,12,"Mumbai, IN",0,0,0
TXN-12423,ACC-59901,ACC-59902,CUST-9000,833961.17,WIRE,2026-08-01 10:58:00,2,"George Town, KY",1,1,1
TXN-10643,ACC-50140,ACC-50133,CUST-1140,76918.37,TRANSFER,2026-08-08 17:16:00,9,"Mumbai, IN",0,0,0
TXN-10480,ACC-50042,ACC-50016,CUST-1042,4182.62,CASH_DEPOSIT,2026-08-05 15:19:00,7,"Mumbai, IN",0,0,0
TXN-11455,ACC-50091,ACC-50129,CUST-1091,53017.39,TRANSFER,2026-08-07 06:13:00,22,"Mumbai, IN",0,0,0
TXN-12394,ACC-50047,ACC-50043,CUST-1047,59268.31,WIRE,2026-08-03 12:03:00,4,"Dubai, AE",1,1,1
